período,capital,interés,bonific. Int BNA,subsidio,iva,seguro,cuota
10/08/17,4212.34,77.22,1.83,7.33,14.29,0,4294.69
10/07/17,4136.49,153.06,5.3,21.18,26.58,8.42,4298.07
10/06/17,4062.02,227.53,8.7,34.78,38.65,16.69,4301.41
10/05/17,3988.89,300.66,12.03,48.14,50.5,24.82,4304.7
10/04/17,3917.08,372.47,15.31,61.25,62.14,32.79,4307.92
10/03/17,3846.56,442.99,18.53,74.13,73.57,40.63,4311.09
10/02/17,3777.31,512.25,21.69,86.77,84.8,48.32,4314.22
10/01/17,3709.3,580.25,24.8,99.19,95.81,55.88,4317.25
10/12/16,3642.52,647.03,27.85,111.39,106.64,63.29,4320.24
10/11/16,3576.95,712.61,30.84,123.36,117.27,70.58,4323.21
10/10/16,3512.55,777,33.78,135.12,127.7,77.73,4326.08
10/09/16,3449.31,840.24,36.67,146.67,137.95,84.76,4328.92
10/08/16,3387.21,902.34,39.5,158.01,148.01,91.66,4331.71
10/07/16,3326.23,963.32,42.29,169.15,157.89,98.43,4334.43
10/06/16,3266.35,1023.2,45.02,180.08,167.6,105.08,4337.13
10/05/16,3207.54,1082.01,47.71,190.82,177.13,111.62,4339.77
10/04/16,3149.8,1139.75,50.34,201.37,186.49,118.03,4342.36
10/03/16,3093.09,1196.46,52.93,211.72,195.68,124.33,4344.91
10/02/16,3037.4,1252.15,55.47,221.89,204.71,130.52,4347.42
10/01/16,2982.72,1306.83,57.97,231.88,213.57,136.59,4349.86
10/12/15,2929.02,1360.53,60.42,241.68,222.27,142.56,4352.28
10/11/15,2876.29,1413.26,62.83,251.31,230.82,148.42,4354.65
10/10/15,2824.51,1465.04,65.19,260.77,239.21,154.17,4356.97
10/09/15,2773.66,1515.89,67.51,270.06,247.45,159.82,4359.25
10/08/15,2723.72,1565.83,69.79,279.17,255.54,165.37,4361.5
10/07/15,2674.69,1614.86,72.03,288.13,263.49,170.81,4363.69
10/06/15,2626.53,1663.02,74.23,296.92,271.29,176.16,4365.85
10/05/15,2579.25,1710.3,76.39,305.56,278.95,181.42,4367.97
10/04/15,2532.81,1756.74,78.51,314.04,286.48,186.57,4370.05
10/03/15,2487.21,1802.34,80.59,322.36,293.87,191.64,4372.11
10/02/15,2442.44,1847.12,82.64,330.54,301.13,196.61,4374.12
10/01/15,2398.46,1891.09,84.64,338.57,308.25,201.5,4376.09
10/12/14,2355.28,1934.27,86.61,346.46,315.25,206.3,4378.03
10/11/14,2312.88,1976.67,88.55,354.2,322.12,211.01,4379.93
10/10/14,2271.24,2018.31,90.45,361.8,328.87,215.63,4381.8
10/09/14,2230.35,2234.09,203.1,406.2,341.21,242.19,4438.54

